이름,평점,위치,카테고리,리뷰 수,조회 수
하쿠시 (휴업중),4.4,논현동,정통 일식 / 일반 일식,18,"22,373"
양인환대,4.4,도곡동,스테이크 / 바베큐,31,"50,290"
레스토랑 알렌,4.4,역삼/선릉,프랑스 음식,9,"6,695"
리사르커피 (청담점),4.4,청담동,카페 / 디저트,40,"11,468"
은화계 (도산대로점),4.4,논현동,닭 / 오리 요리,23,"21,807"
에비던스,4.4,청담동,기타 양식,12,"20,060"
428 레스토랑,4.4,삼성동,이탈리안,18,"23,319"
이타닉가든,4.4,역삼/선릉,한정식 / 백반 / 정통 한식,7,"3,887"
7th Door,4.4,청담동,이탈리안,6,"11,130"
라 티지,4.4,청담동,카페 / 디저트,28,"10,343"
티하우스하다,4.4,청담동,카페 / 디저트,5,"3,963"
PDR,4.4,논현동,칵테일 / 와인,10,"10,763"
레아,4.4,도곡동,이탈리안,17,"11,668"
논현장어,4.4,논현동,해산물 요리,20,"55,255"
이도,4.4,역삼/선릉,이자카야 / 오뎅 / 꼬치,15,"36,804"
영동소금구이,4.4,논현동,고기 요리,25,"63,095"
오마치슌,4.4,대치동,정통 일식 / 일반 일식,13,"12,612"
한미옥,4.4,논현동,고기 요리,6,"3,581"
신사치킨클럽,4.4,가로수길,다국적 아시아 음식,15,"21,445"
쏭타이,4.4,역삼/선릉,태국 음식,19,"44,021"
사케바현,4.4,역삼/선릉,이자카야 / 오뎅 / 꼬치,7,"9,198"
야키토리파노,4.4,신사/압구정,이자카야 / 오뎅 / 꼬치,7,"18,688"
다이닝목로,4.4,신사/압구정,이자카야 / 오뎅 / 꼬치,8,"8,300"
비네트,4.4,역삼/선릉,이탈리안,4,964
딜리셧부티끄,4.4,강남역,기타 양식,7,"4,328"
플랜튜드,4.4,삼성동,기타 양식,5,"2,321"
알라보 (휴업중) (도곡점),4.4,역삼/선릉,기타 양식,4,"1,956"
정식당,4.3,청담동,퓨전 한식,204,"348,198"
다운타우너 (청담점),4.3,신사/압구정,브런치 / 버거 / 샌드위치,299,"209,634"
리틀넥 (청담점),4.3,신사/압구정,브런치 / 버거 / 샌드위치,189,"185,663"
길버트버거앤프라이즈 (가로수길점),4.3,가로수길,브런치 / 버거 / 샌드위치,297,"263,665"
오리지널팬케이크하우스 (가로수길점),4.3,가로수길,브런치 / 버거 / 샌드위치,344,"340,355"
스시선수,4.3,신사/압구정,회 / 스시,94,"261,125"
파스토,4.3,청담동,이탈리안,111,"194,926"
지아니스나폴리 (가로수길점),4.3,가로수길,이탈리안,228,"239,405"
세시셀라 (도산공원점),4.3,신사/압구정,카페 / 디저트,294,"150,339"
정돈 (강남역점),4.3,강남역,까스 요리,229,"289,442"
파불라,4.3,청담동,정통 중식 / 일반 중식,96,"72,728"
울프강스테이크하우스 (청담점),4.3,청담동,스테이크 / 바베큐,123,"82,029"
136길육미,4.3,논현동,퓨전 일식,116,"130,763"
볼피노리스토란테,4.3,신사/압구정,이탈리안,117,"110,857"
능라도 (강남점),4.3,삼성동,국수 / 면 요리,148,"71,743"
SOOT (휴업중),4.3,가로수길,퓨전 양식,66,"194,846"
스시사카우,4.3,신사/압구정,정통 일식 / 일반 일식,30,"22,572"
묵전,4.3,신사/압구정,전통 주점 / 포차,167,"249,907"
크라이치즈버거 (삼성역점),4.3,대치동,브런치 / 버거 / 샌드위치,173,"101,618"
메종드라카테고리,4.3,청담동,프랑스 음식,106,"145,714"
대우부대찌개,4.3,역삼/선릉,탕 / 찌개 / 전골,190,"226,209"
티톨로,4.3,청담동,이탈리안,54,"127,418"
모터시티 (역삼점),4.3,역삼/선릉,기타 양식,111,"105,238"
뽕나무쟁이 (선릉본점),4.3,대치동,고기 요리,248,"207,465"
대가방 (본점),4.3,논현동,정통 중식 / 일반 중식,118,"112,440"
선데이버거클럽,4.3,신사/압구정,브런치 / 버거 / 샌드위치,53,"21,380"
스시카이세이,4.3,신사/압구정,회 / 스시,21,"30,296"
스시마츠모토,4.3,청담동,회 / 스시,18,"9,706"
일무레또,4.3,신사/압구정,이탈리안,34,"75,912"
테일러커피 (신사점),4.3,가로수길,카페 / 디저트,99,"52,931"
벽돌 Happy Food,4.3,신사/압구정,정통 중식 / 일반 중식,71,"63,572"
스시인,4.3,신사/압구정,회 / 스시,22,"49,569"
Restaurant RIPE,4.3,삼성동,고기 요리,16,"144,149"
리북집 (본점),4.3,논현동,고기 요리,185,"128,006"
제스트,4.3,청담동,칵테일 / 와인,22,"9,455"
에빗,4.3,역삼/선릉,퓨전 양식,19,"47,366"
영동민물장어,4.3,논현동,해산물 요리,30,"41,389"
돝고기506,4.3,역삼/선릉,고기 요리,54,"60,624"
모노로그,4.3,논현동,회 / 스시,19,"29,162"
이도곰탕 (본점),4.3,역삼/선릉,탕 / 찌개 / 전골,122,"109,580"
하동관 (코엑스몰),4.3,삼성동,탕 / 찌개 / 전골,174,"175,752"
테라스룸,4.3,청담동,퓨전 양식,40,"27,756"
더라운드,4.3,청담동,정통 중식 / 일반 중식,32,"73,855"
땅코참숯구이 (역삼점),4.3,역삼/선릉,고기 요리,50,"59,791"
효도치킨 (휴업중) (논현점),4.3,논현동,닭 / 오리 요리,57,"66,489"
오르비에토,4.3,가로수길,이탈리안,32,"33,139"
양식당더램키친 (2호점),4.3,가로수길,고기 요리,68,"133,420"
잭슨피자 (압구정점),4.3,신사/압구정,기타 양식,45,"52,762"
몰타참치,4.3,대치동,회 / 스시,44,"110,444"
심양양꼬치 (청담점),4.3,신사/압구정,기타 중식,60,"45,538"
네기스키야키,4.3,신사/압구정,기타 일식,20,"40,876"
